Name,Country,Type,Ratings,Price_USD,Rating
Bayou Spiced ,USA,Spiced,45,None,8.1
Ron Quorhum 12-Year ,Dominican Republic,Aged,22,44.54,7.1
Legendario Ron Anejo ,Cuba,Aged,44,None,6.6
Isautier Blanc 55 ,Reunion,Light,1,None,6.0
Wester Premium Spiced ,United Kingdom,Spiced,1,None,6.0
Plantation Barbados 1995 ,Caribbean,Aged,1,None,9.0
Calibre 38 Cream ,Dominican Republic,Flavored,1,None,7.0
Flying Dutchman Zuidam ,Netherlands,Aged,1,None,7.0
Silver Seal Port Mourant Rum 13 years 2003 ,Italy,Aged,1,None,3.0
Black Cove Black Cove ,Caribbean,Spiced,1,None,6.0
Enmore Demerara Rum Silver Seal 2002 ,UK,Aged,1,None,8.0
Adinco Distilleries Black Elvis ,India,Dark,1,None,5.0
Roaring Forties Oak Aged ,New Zealand,Overproof,1,None,1.0
Mr. Boston Dark ,USA,Dark,1,None,4.0
Habitation Velier Clairin Sajous 2015 Rhum,Italy,Rhum Agricole,1,None,8.0
George Ocean Coconut ,USA,Flavored,1,None,5.0
Vivero Ron Vivero ,Switzerland,Aged,1,None,9.0
El Dorado Smuggler's Cove Private Reserve Spiced ,Guyana,Spiced,1,None,7.0
Skol Gold ,USA,Gold,1,None,8.0
Bills  Spiced ,UK,Aged,1,None,8.0
Swedes Trinidad 1997 ,Sweden,Aged,1,None,10.0
Railean Spiced ,USA,Spiced,1,None,6.0
La Mauny Elev Sous Bois ,Martinique,Gold,1,None,6.0
Bocador White ,USA,Light,1,None,8.0
The Little Distiller Ultimatum Rum Single Cask Selection Guyana Diamond 12 year ,The Netherlands,Aged,1,None,9.0
Whistling Andy's  Hibiscus-Coconut  ,USA,Flavored,1,None,1.0
Rum Company Old Martiniqe ,Germany,Aged,1,None,7.0
Ron Cabo Blanco Durazno ,Peru,Gold,1,None,1.0
Turoa Original ,Germany,Light,1,None,6.0
Plantation Plantation Peru 13 years old amburana maturation ,Caribbean,Aged,1,None,9.0
Ron Maja 8-year ,El Salvador,Aged,1,None,8.0
Origin R. Jamaica 16-year ,France,Aged,1,None,8.0
Capulet &amp; Montague Ltd.  Bonpland Nicaragua 18 Years ,Germany,Aged,1,None,7.0
Kill Devil (Hunter Laing) Jamaica 2007 9-Year ,Scotland,Aged,1,None,9.0
Hardy Paille ,Martinique,Gold,1,None,8.0
Bologne Aged ,Guadeloupe,Aged,1,None,6.0
New England Distillery Eight Bells ,United States,Gold,1,None,6.0
Topper's Coconut ,St. Maartin,Aged,1,None,8.0
Kudjoe Gold ,Jamaica,Gold,1,None,7.0
Negrita Negrita Top Series ,Martinique,Dark,1,None,8.0
Ron Caney Blanco ,Cuba,Light,1,11.6,5.0
Seaspirits llc Seaspirits ,United States,Aged,1,None,1.0
Damoiseau Millesime 2008 10-Year  ,Guadeloupe,Aged,1,81.67,8.0
Dzama Nosy-Be Blanc ,Madagascar,Light,1,37.58,7.0
Bonpland Bonpland Rum Blanc 40% ,Germany,Aged,1,None,7.0
D'Aristi Special Reserve 10-Year ,USA,Aged,1,None,6.0
Mount Gay Mount Gay Rum Extra Old 12 Years ,Barbados,Aged,1,None,6.0
Kill Devil (Hunter Laing) Bellevue 1998 18-Year Rhum,Scotland,Rhum Agricole,1,None,8.0
"Chantal Comte CHANTAL COMTE LA TOUR DE L’OR 2005 BRUT DE FÛT 51,5° ",France,Aged,1,None,10.0
Ron Anejo Canaveral ,Venezuela,Gold,1,None,6.0
Silver Seal Panama 15-Year ,Italy,Aged,1,None,8.0
Arecha Dorado ,Cuba,Gold,1,None,7.0
Kill Devil (Hunter Laing) Jamaica 2003 12-Year ,Scotland,Aged,1,None,7.0
Plantation Plantation Trinidad 2003 ,Caribbean,Aged,1,None,8.0
Vanûa rum Brand ,Fidji,Aged,1,None,8.0
Old Ipswich Spiced  ,USA,Spiced,1,None,7.0
Clement Liqueur Creole Rhum,Martinique,Rhum Agricole,1,None,7.0
Cruzan Clipper 120 ,US Virgin Islands,Flavored,1,None,7.0
Kill Devil (Hunter Laing) Guyana 1999 17-Years ,Scotland,Aged,1,None,8.0
Clarkes Court Spicy ,Grenada,Spiced,1,None,8.0
Compagnie des Indes Guyana 1997 Uitvlugt 18-Years ,Caribbean,Aged,1,None,7.0
Isla Ñ White ,Argentina,Light,1,None,8.0
Kill Devil Gold  ,USA,Gold,1,None,6.0
La Maison du Whisky TCRL fiji 2009 ,France,Aged,1,None,8.0
Crisma Caribbean Cream Liqueur ,Barbados,Flavored,1,None,10.0
Code Key Lime ,USA,Flavored,1,None,2.0
Borgoe Extra ,Suriname,Aged,1,34.84,6.0
St. Lucia Distillers st lucia 2010 70 ans velier ,St. Lucia,Aged,1,None,9.0
Rhum Rhum liberation 2015 60 ans lmdw ,Guadeloupe,Aged,1,None,9.0
Secret Barrel Distillery  White ,Canada,Light,1,None,7.0
The Real McCoy Pagan Idol 5-Year 92-Proof ,Barbados,Aged,1,None,8.0
Bozkov Zimní speciál ,Czech Republic,Flavored,1,None,7.0
George Ocean Gold ,USA,Gold,1,None,8.0
Capovilla PMG Marie Galante ,Guadeloupe,Aged,1,None,8.0
San Pablo Light ,Curacao,Light,1,None,1.0
Beenleigh Double Barrel 5-Year ,Australia,Aged,1,None,7.0
Alnwick Spiced ,UK,Aged,1,None,5.0
Robby Selected Dark ,Unknown,Dark,1,None,3.0
Cadenhead's Demerara Green Label 15-Year ,UK,Aged,1,None,2.0
Silver Wolf Silver ,USA,Light,1,None,1.0
Takamaka Bay Extra Noir ,Seychelles,Aged,1,None,6.0
Ron Cortez Anejo ,Panama,Light,1,None,5.0
Macoucherie Bois Bandé ,Dominica,Spiced,1,None,3.0
Clement Canne Bleue 2013 ,Martinique,Light,1,None,6.0
Bagsværd vinhandel Exclusiva ,Denmark,n/a,1,None,7.0
Bacardi Spice ,Puerto Rico,Spiced,1,None,7.0
Caribbean's Finest Caramel ,Dominican Republic,Flavored,1,None,10.0
Castaway Gold ,USA,Gold,1,None,7.0
Hamilton 2007 St. Lucia Pot Still  - cask strength ,Caribbean,Aged,1,None,9.0
Velier Chamarel 4 yrs 2010-2014 ,Italy,Aged,1,None,6.0
3 Zero Platinum ,Combination,Light,1,None,7.0
Cane Island  Cuba Gran Anejo ,Cuba,Aged,1,None,6.0
Sas Distilleries Charlesville ,Belgium,Dark,1,None,9.0
Cruzan Velvet Cinn ,US Virgin Islands,Flavored,1,None,6.0
Ron Cortez Oro ,Panama,Gold,1,None,6.0
West Indies Rum and Cane Spain XO Single Cask ,Caribbean,Aged,1,None,8.0
Johannsen Vanilla ,Germany,Flavored,1,None,6.0
Bristol Classic Port Morant Demara Rum 25 years old ,UK,Aged,1,124.32,8.0
Engenho Da Vertente Cachaça Envelhecida Tradicional Cachaca,Brazil,Cachaca,1,None,7.0
St. Augustine 2 ,USA,Gold,1,None,8.0
Cuello's Caribbean Extra Strong ,Belize,Overproof,1,None,10.0
Novo Fogo Chameleon ,Brazil,Flavored,1,None,7.0
Bielle Bielle rhum vieux 2011 à 2015 aged 4 year ,Guadeloupe,Aged,1,None,7.0
Pusser's Admial's Reserve ,British Virgin Isles,Gold,1,None,9.0
Old Man Spirits Rum Project Choice Gentle and Wild  ,Caribbean,Aged,1,None,8.0
